Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
BEN,1970-01-01,1970-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,11.3852598932,X
BEN,1971-01-01,1971-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,11.7914503053,X
BEN,1972-01-01,1972-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,12.1026651600,X
BEN,1973-01-01,1973-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,12.5695602669,X
BEN,1974-01-01,1974-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,13.6544874271,X
BEN,1975-01-01,1975-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,15.8790172153,X
BEN,1976-01-01,1976-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,18.5920993461,X
BEN,1977-01-01,1977-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,20.0604834696,X
BEN,1978-01-01,1978-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,22.4826451996,X
BEN,1979-01-01,1979-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,23.8990390140,X
BEN,1980-01-01,1980-12-31,53,'204,Benin,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,27.7203499796,X
