Iso3,Item Code,Year,Value
#country+code,#indicator+code,#date+year,#indicator+value+num
BEN,23013,2000,59.576576
BEN,23013,2001,61.668730
BEN,23013,2002,64.358642
BEN,23013,2003,67.646312
BEN,23013,2004,65.952664
BEN,23013,2005,67.845565
BEN,23013,2006,72.528005
BEN,23013,2007,72.428379
BEN,23013,2008,77.055103
BEN,23013,2009,88.015527
BEN,23013,2010,83.282617
BEN,23013,2011,95.654611
BEN,23013,2012,93.495739
BEN,23013,2013,100.367593
BEN,23013,2014,103.210661
BEN,23013,2015,100.844206
BEN,23013,2016,99.889320
BEN,23013,2017,97.190731
BEN,23013,2018,97.132607
BEN,23013,2019,103.910315
BEN,23013,2020,100.383541
BEN,23013,2021,100.841822
BEN,23013,2022,116.430095
BEN,23013,2023,114.278057
BEN,23013,2024,107.977882
BEN,23013,2025,109.758503
BEN,23013,2000,59.277696
BEN,23013,2001,59.775828
BEN,23013,2002,64.657521
BEN,23013,2003,67.048554
BEN,23013,2004,65.454532
BEN,23013,2005,68.343697
BEN,23013,2006,68.343697
BEN,23013,2007,71.232862
BEN,23013,2008,76.639936
BEN,23013,2009,83.614751
BEN,23013,2010,83.033516
BEN,23013,2011,90.921700
BEN,23013,2012,93.329672
BEN,23013,2013,100.431529
BEN,23013,2014,100.138421
BEN,23013,2015,98.245256
BEN,23013,2016,97.979549
BEN,23013,2017,95.538364
BEN,23013,2018,96.883507
BEN,23013,2019,99.626381
BEN,23013,2020,103.183042
BEN,23013,2021,100.662967
BEN,23013,2022,105.208331
BEN,23013,2023,114.566808
BEN,23013,2024,111.336323
BEN,23013,2025,111.704262
BEN,23013,2000,61.867982
BEN,23013,2001,62.764620
BEN,23013,2002,65.853038
BEN,23013,2003,64.956400
BEN,23013,2004,63.960136
BEN,23013,2005,71.432115
BEN,23013,2006,69.240335
BEN,23013,2007,70.236598
BEN,23013,2008,78.300606
BEN,23013,2009,81.954081
BEN,23013,2010,84.362053
BEN,23013,2011,89.261030
BEN,23013,2012,95.737644
BEN,23013,2013,100.713843
BEN,23013,2014,99.723253
BEN,23013,2015,101.192946
BEN,23013,2016,99.739860
BEN,23013,2017,94.807669
BEN,23013,2018,96.651013
BEN,23013,2019,103.412183
BEN,23013,2020,102.027376
BEN,23013,2021,103.193005
BEN,23013,2022,105.215980
BEN,23013,2023,116.631875
BEN,23013,2024,113.885163
BEN,23013,2025,114.622901
BEN,23013,2000,63.063499
BEN,23013,2001,63.561631
BEN,23013,2002,67.745939
BEN,23013,2003,66.052290
BEN,23013,2004,64.856774
BEN,23013,2005,70.635104
BEN,23013,2006,72.129500
BEN,23013,2007,69.937719
BEN,23013,2008,78.466673
BEN,23013,2009,84.611153
BEN,23013,2010,87.600360
BEN,23013,2011,92.333270
BEN,23013,2012,96.401912
BEN,23013,2013,102.169420
BEN,23013,2014,101.217856
BEN,23013,2015,96.758957
BEN,23013,2016,104.140636
BEN,23013,2017,97.157517
BEN,23013,2018,102.297292
BEN,23013,2019,99.526754
BEN,23013,2020,102.655023
BEN,23013,2021,105.623889
BEN,23013,2022,104.492791
BEN,23013,2023,108.812186
BEN,23013,2024,112.424675
BEN,23013,2025,116.391773
BEN,23013,2000,64.059763
BEN,23013,2001,65.952664
BEN,23013,2002,68.144444
BEN,23013,2003,66.351169
BEN,23013,2004,65.753411
BEN,23013,2005,71.531741
BEN,23013,2006,74.321280
BEN,23013,2007,69.838093
BEN,23013,2008,81.206779
BEN,23013,2009,89.842265
BEN,23013,2010,88.679795
BEN,23013,2011,94.076974
BEN,23013,2012,100.304488
BEN,23013,2013,103.162501
BEN,23013,2014,105.535599
BEN,23013,2015,96.758957
BEN,23013,2016,107.196269
